time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6,
0,7.33E-06,5.81E-07,-2.19E-06,-1.67E-06,-1.29E-10,-3.86E-10,,0.003665191,0.00029049,-0.001092757,-0.000835063,-6.46E-08,-1.93E-07,,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,0,
0.002,3.67E-05,2.90E-06,-1.09E-05,-8.35E-06,-6.46E-10,-1.93E-09,,0.014660766,0.001161961,-0.004371028,-0.003340253,-2.58E-07,-7.72E-07,,-1.570796312,-1.570796326,1.570796322,-1.57079633,-1.570796327,-7.72E-13,
0.004,0.000102625,8.13E-06,-3.06E-05,-2.34E-05,-1.81E-09,-5.40E-09,,0.032986723,0.002614413,-0.009834812,-0.007515568,-5.81E-07,-1.74E-06,,-1.570796239,-1.57079632,1.570796301,-1.570796347,-1.570796327,-4.63E-12,
0.006,0.000219911,1.74E-05,-6.56E-05,-5.01E-05,-3.87E-09,-1.16E-08,,0.058643063,0.004647845,-0.01748411,-0.01336101,-1.03E-06,-3.09E-06,,-1.570796034,-1.570796304,1.570796239,-1.570796394,-1.570796327,-1.54E-11,
0.008,0.000403171,3.20E-05,-0.000120203,-9.19E-05,-7.10E-09,-2.12E-08,,0.091629786,0.007262258,-0.027318922,-0.020876578,-1.61E-06,-4.82E-06,,-1.570795594,-1.570796269,1.570796108,-1.570796494,-1.570796327,-3.86E-11,
0.01,0.000667065,5.29E-05,-0.000198882,-0.000151981,-1.18E-08,-3.51E-08,,0.131946891,0.010457652,-0.039339248,-0.030062272,-2.32E-06,-6.95E-06,,-1.570794787,-1.570796205,1.570795868,-1.570796678,-1.570796327,-8.11E-11,
0.012,0.001026254,8.13E-05,-0.000305972,-0.000233818,-1.81E-08,-5.40E-08,,0.17959438,0.014234026,-0.053545088,-0.040918093,-3.16E-06,-9.46E-06,,-1.570793453,-1.570796099,1.57079547,-1.570796981,-1.570796327,-1.51E-10,
0.014,0.001495398,0.00011852,-0.000445845,-0.000340706,-2.63E-08,-7.87E-08,,0.234572252,0.018591381,-0.069936441,-0.05344404,-4.13E-06,-1.24E-05,,-1.570791401,-1.570795936,1.570794858,-1.570797449,-1.570796327,-2.59E-10,
0.016,0.002089159,0.000165579,-0.000622871,-0.000475986,-3.68E-08,-1.10E-07,,0.296880506,0.023529717,-0.088513308,-0.067640113,-5.23E-06,-1.56E-05,,-1.57078841,-1.570795699,1.570793966,-1.570798131,-1.570796327,-4.17E-10,
0.018,0.002822197,0.000223678,-0.000841423,-0.000642999,-4.97E-08,-1.49E-07,,0.366519143,0.029049033,-0.109275689,-0.083506312,-6.46E-06,-1.93E-05,,-1.570784232,-1.570795368,1.570792721,-1.570799083,-1.570796327,-6.37E-10,
0.02,0.003709174,0.000293976,-0.00110587,-0.000845084,-6.53E-08,-1.95E-07,,0.443488163,0.03514933,-0.132223584,-0.101042638,-7.81E-06,-2.34E-05,,-1.570778587,-1.570794921,1.570791038,-1.570800369,-1.570796327,-9.34E-10,
