time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0,0,0,0,0,0,0,,0,0,0,0,0,0,,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,-1.37E-19
0.002,7.33E-06,3.65E-07,-1.38E-06,-1.05E-06,-8.12E-11,-2.43E-10,,0.003665191,0.000182673,-0.000692218,-0.000525123,-4.06E-08,-1.21E-07,,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,0
0.004,3.67E-05,1.83E-06,-6.92E-06,-5.25E-06,-4.06E-10,-1.21E-09,,0.014660766,0.000730691,-0.002768873,-0.002100494,-1.62E-07,-4.85E-07,,-1.570796312,-1.570796326,1.570796324,-1.570796329,-1.570796327,-4.85E-13
0.006,0.000102625,5.11E-06,-1.94E-05,-1.47E-05,-1.14E-09,-3.40E-09,,0.032986723,0.001644055,-0.006229964,-0.004726111,-3.65E-07,-1.09E-06,,-1.570796239,-1.570796323,1.57079631,-1.57079634,-1.570796327,-2.91E-12
0.008,0.000219911,1.10E-05,-4.15E-05,-3.15E-05,-2.44E-09,-7.28E-09,,0.058643063,0.002922764,-0.011075492,-0.008401974,-6.50E-07,-1.94E-06,,-1.570796034,-1.570796312,1.570796272,-1.570796369,-1.570796327,-9.71E-12
0.01,0.000403171,2.01E-05,-7.61E-05,-5.78E-05,-4.47E-09,-1.33E-08,,0.091629786,0.004566819,-0.017305457,-0.013128085,-1.02E-06,-3.03E-06,,-1.570795594,-1.57079629,1.570796189,-1.570796432,-1.570796327,-2.43E-11
0.012,0.000667065,3.32E-05,-0.000125984,-9.56E-05,-7.39E-09,-2.21E-08,,0.131946891,0.006576219,-0.024919858,-0.018904442,-1.46E-06,-4.37E-06,,-1.570794788,-1.57079625,1.570796036,-1.570796548,-1.570796327,-5.10E-11
0.014,0.001026254,5.11E-05,-0.000193821,-0.000147035,-1.14E-08,-3.40E-08,,0.17959438,0.008950964,-0.033918695,-0.025731046,-1.99E-06,-5.95E-06,,-1.570793453,-1.570796184,1.570795784,-1.570796739,-1.570796327,-9.51E-11
0.016,0.001495398,7.45E-05,-0.000282425,-0.00021425,-1.66E-08,-4.95E-08,,0.234572251,0.011691055,-0.044301969,-0.033607897,-2.60E-06,-7.77E-06,,-1.570791401,-1.570796081,1.570795397,-1.570797033,-1.570796327,-1.63E-10
0.018,0.002089159,0.000104123,-0.000394564,-0.00029932,-2.31E-08,-6.92E-08,,0.296880506,0.014796492,-0.05606968,-0.042534995,-3.29E-06,-9.83E-06,,-1.57078841,-1.570795932,1.570794832,-1.570797461,-1.570796327,-2.62E-10
0.02,0.002822197,0.000140658,-0.000533008,-0.000404345,-3.13E-08,-9.34E-08,,0.366519143,0.018267274,-0.069221827,-0.052512339,-4.06E-06,-1.21E-05,,-1.570784232,-1.570795724,1.570794043,-1.57079806,-1.570796327,-4.00E-10
0.022,0.003709174,0.000184865,-0.000700525,-0.000531425,-4.11E-08,-1.23E-07,,0.443488163,0.022103401,-0.083758411,-0.063539931,-4.91E-06,-1.47E-05,,-1.570778587,-1.570795443,1.570792977,-1.570798869,-1.570796327,-5.87E-10
0.024,0.004764749,0.000237475,-0.000899884,-0.00068266,-5.28E-08,-1.58E-07,,0.527787566,0.026304875,-0.099679431,-0.075617769,-5.85E-06,-1.75E-05,,-1.570771169,-1.570795073,1.570791576,-1.570799931,-1.570796327,-8.33E-10
0.026,0.006003584,0.000299218,-0.001133854,-0.000860152,-6.65E-08,-1.99E-07,,0.619417352,0.030871693,-0.116984888,-0.088745853,-6.86E-06,-2.05E-05,,-1.57076164,-1.570794598,1.570789776,-1.570801297,-1.570796327,-1.15E-09
0.028,0.007440339,0.000370826,-0.001405203,-0.001066,-8.24E-08,-2.46E-07,,0.71837752,0.035803857,-0.135674782,-0.102924185,-7.96E-06,-2.38E-05,,-1.570749632,-1.570794,1.570787508,-1.570803017,-1.570796328,-1.55E-09
