time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0,0,0,0,0,0,0,,0,0,0,0,0,0,,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,0
0.002,7.33E-06,5.20E-07,-1.96E-06,-1.49E-06,-1.16E-10,-3.45E-10,,0.003665191,0.000260007,-0.000978086,-0.000747434,-5.78E-08,-1.73E-07,,-1.570796312,-1.570796326,1.570796323,-1.57079633,-1.570796327,-6.91E-13
0.004,3.67E-05,2.60E-06,-9.78E-06,-7.47E-06,-5.78E-10,-1.73E-09,,0.014660766,0.001040029,-0.003912346,-0.002989737,-2.31E-07,-6.91E-07,,-1.570796239,-1.570796321,1.570796304,-1.570796345,-1.570796327,-4.15E-12
0.006,0.000102625,7.28E-06,-2.74E-05,-2.09E-05,-1.62E-09,-4.84E-09,,0.032986723,0.002340065,-0.008802778,-0.006726908,-5.20E-07,-1.55E-06,,-1.570796034,-1.570796306,1.570796249,-1.570796387,-1.570796327,-1.38E-11
0.008,0.000219911,1.56E-05,-5.87E-05,-4.48E-05,-3.47E-09,-1.04E-08,,0.058643063,0.004160115,-0.015649383,-0.011958948,-9.25E-07,-2.76E-06,,-1.570795594,-1.570796275,1.570796131,-1.570796476,-1.570796327,-3.45E-11
0.01,0.000403171,2.86E-05,-0.00010759,-8.22E-05,-6.36E-09,-1.90E-08,,0.091629786,0.00650018,-0.024452161,-0.018685856,-1.44E-06,-4.32E-06,,-1.570794788,-1.570796218,1.570795916,-1.570796641,-1.570796327,-7.26E-11
0.012,0.000667065,4.73E-05,-0.000178012,-0.000136033,-1.05E-08,-3.14E-08,,0.131946891,0.009360259,-0.035211111,-0.026907632,-2.08E-06,-6.22E-06,,-1.570793453,-1.570796123,1.57079556,-1.570796913,-1.570796327,-1.35E-10
0.014,0.001026254,7.28E-05,-0.000273864,-0.000209282,-1.62E-08,-4.84E-08,,0.17959438,0.012740352,-0.047926235,-0.036624277,-2.83E-06,-8.46E-06,,-1.570791401,-1.570795978,1.570795012,-1.570797332,-1.570796327,-2.32E-10
0.016,0.001495398,0.000106083,-0.000399059,-0.000304953,-2.36E-08,-7.05E-08,,0.234572251,0.01664046,-0.062597531,-0.047835791,-3.70E-06,-1.11E-05,,-1.57078841,-1.570795765,1.570794214,-1.570797941,-1.570796327,-3.73E-10
0.018,0.002089159,0.000148204,-0.000557509,-0.000426038,-3.29E-08,-9.85E-08,,0.296880506,0.021060582,-0.079225001,-0.060542172,-4.68E-06,-1.40E-05,,-1.570784232,-1.570795469,1.570793099,-1.570798794,-1.570796327,-5.70E-10
0.02,0.002822197,0.000200206,-0.000753127,-0.000575524,-4.45E-08,-1.33E-07,,0.366519143,0.026000719,-0.097808642,-0.074743423,-5.78E-06,-1.73E-05,,-1.570778587,-1.570795069,1.570791593,-1.570799945,-1.570796327,-8.36E-10
0.022,0.003709174,0.000263127,-0.000989823,-0.000756403,-5.85E-08,-1.75E-07,,0.443488163,0.03146087,-0.118348458,-0.090439542,-6.99E-06,-2.09E-05,,-1.570771169,-1.570794542,1.570789613,-1.570801457,-1.570796327,-1.19E-09
0.024,0.004764749,0.000338009,-0.001271512,-0.000971664,-7.51E-08,-2.25E-07,,0.527787566,0.037441035,-0.140844445,-0.107630529,-8.32E-06,-2.49E-05,,-1.57076164,-1.570793866,1.57078707,-1.570803401,-1.570796328,-1.63E-09
0.026,0.006003584,0.000425892,-0.001602106,-0.001224297,-9.47E-08,-2.83E-07,,0.619417352,0.043941215,-0.165296606,-0.126316385,-9.77E-06,-2.92E-05,,-1.570749632,-1.570793015,1.570783866,-1.570805849,-1.570796328,-2.20E-09
0.028,0.007440339,0.000527815,-0.001985515,-0.001517291,-1.17E-07,-3.51E-07,,0.71837752,0.050961409,-0.191704939,-0.146497109,-1.13E-05,-3.39E-05,,-1.570734752,-1.570791959,1.570779895,-1.570808884,-1.570796328,-2.90E-09
0.03,0.009089675,0.000644818,-0.002425654,-0.001853637,-1.43E-07,-4.28E-07,,0.824668072,0.058501618,-0.220069446,-0.168172701,-1.30E-05,-3.89E-05,,-1.570716572,-1.570790669,1.570775044,-1.570812591,-1.570796328,-3.76E-09
0.032,0.010966253,0.000777942,-0.002926435,-0.002236323,-1.73E-07,-5.17E-07,,0.938289006,0.066561841,-0.250390125,-0.191343162,-1.48E-05,-4.42E-05,,-1.57069464,-1.570789113,1.570769191,-1.570817064,-1.570796329,-4.79E-09
0.034,0.013084733,0.000928226,-0.003491769,-0.00266834,-2.06E-07,-6.17E-07,,1.059240323,0.075142078,-0.282666977,-0.216008492,-1.67E-05,-4.99E-05,,-1.57066847,-1.570787257,1.570762207,-1.570822401,-1.570796329,-6.03E-09
0.036,0.015459777,0.00109671,-0.004125569,-0.003152678,-2.44E-07,-7.29E-07,,1.187522023,0.08424233,-0.316900002,-0.24216869,-1.87E-05,-5.60E-05,,-1.570637551,-1.570785063,1.570753956,-1.570828706,-1.57079633,-7.48E-09
0.038,0.018106046,0.001284436,-0.004831747,-0.003692325,-2.85E-07,-8.53E-07,,1.323134106,0.093862596,-0.3530892,-0.269823756,-2.09E-05,-6.24E-05,,-1.570601339,-1.570782495,1.570744293,-1.570836091,-1.57079633,-9.19E-09
0.04,0.021038199,0.001492441,-0.005614216,-0.004290272,-3.32E-07,-9.92E-07,,1.466076572,0.104002876,-0.39123457,-0.298973691,-2.31E-05,-6.91E-05,,-1.570559262,-1.57077951,1.570733064,-1.570844671,-1.570796331,-1.12E-08
0.042,0.024263567,0.001721248,-0.006474932,-0.004948015,-3.83E-07,-1.14E-06,,1.612684229,0.114403164,-0.430358027,-0.32887106,-2.54E-05,-7.60E-05,,-1.570510735,-1.570776067,1.570720115,-1.570854567,-1.570796332,-1.35E-08
0.044,0.027782151,0.001970855,-0.007413895,-0.005665551,-4.38E-07,-1.31E-06,,1.759291886,0.124803451,-0.469481484,-0.35876843,-2.77E-05,-8.29E-05,,-1.570455171,-1.570772126,1.570705287,-1.570865898,-1.570796332,-1.61E-08
0.046,0.03159395,0.002241262,-0.008431105,-0.006442883,-4.98E-07,-1.49E-06,,1.905899543,0.135203739,-0.508604941,-0.388665799,-3.00E-05,-8.98E-05,,-1.570391983,-1.570767643,1.570688425,-1.570878784,-1.570796333,-1.91E-08
0.048,0.035698965,0.00253247,-0.009526562,-0.007280009,-5.63E-07,-1.68E-06,,2.0525072,0.145604027,-0.547728398,-0.418563168,-3.24E-05,-9.67E-05,,-1.570320585,-1.570762578,1.570669371,-1.570893344,-1.570796335,-2.24E-08
0.05,0.040097194,0.002844479,-0.010700265,-0.00817693,-6.32E-07,-1.89E-06,,2.199114858,0.156004314,-0.586851855,-0.448460537,-3.47E-05,-0.000103644,,-1.570240391,-1.570756889,1.570647971,-1.570909698,-1.570796336,-2.62E-08
